127.0.0.1 - - [11/Feb/2016:20:00:46 -0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:01:19 -0800] "GET /BoxApp-Api/api/claim/Auth1?email=wes@jcs.com HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:01:19 -0800] "GET /BoxApp-Api/api/claim/getVehicle?userid=2 HTTP/1.1" 200 1772
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:01:19 -0800] "GET /BoxApp-Api/api/claim/claims?email=wes@jcs.com HTTP/1.1" 200 5135
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:03:03 -0800] "POST /BoxApp-Api/api/claim/uploadcalim?claimid=2claim301 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:04:37 -0800] "OPTIONS /BoxApp-Api/api/claim/claim/create?email=wes@jcs.com HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:04:37 -0800] "POST /BoxApp-Api/api/claim/claim/create?email=wes@jcs.com HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:04:37 -0800] "OPTIONS /BoxApp-Api/api/claim/claim/vehicle?email=wes@jcs.com HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:04:37 -0800] "POST /BoxApp-Api/api/claim/claim/vehicle?email=wes@jcs.com HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:04:57 -0800] "GET /BoxApp-Api/api/claim/Auth1?email=bushan1891@gmail.com HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:04:57 -0800] "GET /BoxApp-Api/api/claim/Adjustor HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:04:57 -0800] "GET /BoxApp-Api/api/claim/claims/agent?status=pending HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:04:57 -0800] "GET /BoxApp-Api/api/claim/claims/agent?status=approved HTTP/1.1" 200 3729
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:05:18 -0800] "OPTIONS /BoxApp-Api/api/claim/claims/update HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:05:18 -0800] "PUT /BoxApp-Api/api/claim/claims/update HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:05:18 -0800] "GET /BoxApp-Api/api/claim/claims/agent?status=approved HTTP/1.1" 200 4001
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:05:18 -0800] "GET /BoxApp-Api/api/claim/claims/agent?status=pending HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:05:26 -0800] "GET /BoxApp-Api/api/claim/Auth1?email=ryan@jcs.com HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:05:26 -0800] "GET /BoxApp-Api/api/claim/AdjustorClaim?user=ryan HTTP/1.1" 200 2677
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:05:26 -0800] "GET /BoxApp-Api/api/claim/AdjustorClaimApproved?status=Approved HTTP/1.1" 200 1865
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:05:46 -0800] "OPTIONS /BoxApp-Api/api/claim/claims/update HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:05:46 -0800] "PUT /BoxApp-Api/api/claim/claims/update HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:05:46 -0800] "GET /BoxApp-Api/api/claim/AdjustorClaim?user=ryan HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:05:46 -0800] "GET /BoxApp-Api/api/claim/AdjustorClaimApproved?status=Approved HTTP/1.1" 200 2138
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:05:54 -0800] "GET /BoxApp-Api/api/claim/Auth1?email=wes@jcs.com HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:05:54 -0800] "GET /BoxApp-Api/api/claim/getVehicle?userid=2 HTTP/1.1" 200 1772
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:05:54 -0800] "GET /BoxApp-Api/api/claim/claims?email=wes@jcs.com HTTP/1.1" 200 5434
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:08:45 -0800] "GET /BoxApp-Api/api/claim/Auth1?email=wes@jcs.com HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:08:45 -0800] "GET /BoxApp-Api/api/claim/getVehicle?userid=2 HTTP/1.1" 200 1772
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:08:45 -0800] "GET /BoxApp-Api/api/claim/claims?email=wes@jcs.com HTTP/1.1" 200 5434
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:09:09 -0800] "POST /BoxApp-Api/api/claim/uploadcalim?claimid=2claim417 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:10:04 -0800] "GET /BoxApp-Api/api/claim/Auth1?email=kari@k.com HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:10:04 -0800] "GET /BoxApp-Api/api/claim/AdjustorClaimApproved?status=Approved HTTP/1.1" 200 2138
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:10:04 -0800] "GET /BoxApp-Api/api/claim/AdjustorClaim?user=karish HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:10:25 -0800] "GET /BoxApp-Api/api/claim/Auth1?email=bushan1891@gmail.com HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:10:25 -0800] "GET /BoxApp-Api/api/claim/claims/agent?status=pending HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [11/Feb/2016:20:10:25 -0800] "GET /BoxApp-Api/api/claim/claims/agent?status=approved HTTP/1.1" 200 4002
